e ,152585
 t,124489
th,111080
he,108886
 a,88601
s ,86302
d ,78748
in,77476
t ,72894
er,67028
n ,63337
an,61155
re,58860
 o,57672
on,50361
 w,49689
 s,48542
 i,47371
", ",46078
en,45556
nd,44736
at,43656
y ,42318
r ,41898
ed,40548
 h,40086
or,38444
es,38026
is,36662
ou,35852
to,35636
as,35223
ar,35218
ha,35141
of,34780
te,34707
ng,34611
 b,34551
ti,34508
o ,34356
it,34109
f ,33778
st,32664
 c,30712
. ,30413
nt,30397
al,30394
 f,30245
se,28113
hi,27518
ve,27214
 m,26886
le,26677
 p,25219
me,25002
ea,24255
g ,22752
de,22107
ne,22100
ri,21937
l ,21548
ro,21149
ll,20985
co,20952
 d,20822
a ,20473
be,20448
h ,20290
io,19920
ic,19681
ce,19623
li,18647
ra,18462
ch,18050
om,17722
 r,17420
ho,17333
el,17286
ur,17241
wa,17181
 l,17010
 e,16352
si,16314
ly,16279
sh,16043
ma,15818
fo,15642
ta,15618
la,15612
ut,15553
 n,15297
il,14831
us,14725
ee,14636
ca,14536
ad,14509
no,14460
pe,14425
ot,14045
et,13639
ac,13540
wh,13220
di,13204
ec,13123
un,13097
ns,13087
wi,12971
rs,12897
ow,12756
we,12529
nc,12440
ul,12220
ai,12195
ss,12126
tr,12054
ge,11930
lo,11642
so,11641
pr,11577
ie,11558
ct,11543
 g,11475
rt,11253
m ,10982
ld,10865
id,10860
ir,10856
em,10807
im,10730
 I,10608
ol,10345
Th,10336
mo,10056
po,10041
oo,9290
ni,9251
ts,9246
gh,9181
os,8992
mi,8900
 T,8862
ay,8814
ke,8715
"s,",8679
pa,8671
fi,8616
su,8590
ry,8494
ig,8387
wo,8346
 u,8133
am,8114
da,8098
na,8084
av,7755
ab,7744
s.,7741
iv,7718
sa,7716
bl,7709
ev,7650
pl,7629
"e,",7433
ci,7393
ia,7279
do,7209
vi,7198
fe,7167
rd,6963
tu,6898
e.,6861
mp,6817
tt,6529
bo,6459
 y,6451
ag,6399
op,6364
fr,6278
w ,6266
 S,6251
 A,6182
ex,6034
ty,6034
od,5996
ap,5977
I ,5962
