en,334609
er,305581
n ,288914
e ,209251
ch,208594
r ,174267
 d,165700
de,163773
ie,152413
ei,147146
te,143077
in,141390
un,127507
t ,122176
nd,117368
ge,105444
s ,102145
st,87650
ne,85890
es,84978
re,80747
be,78535
he,78515
", ",76401
ng,76349
it,74809
ic,73891
an,73311
 e,72961
d ,70189
 a,69856
is,67196
se,66105
 s,65177
 i,64776
sc,63745
 u,63097
di,62396
le,57223
on,56822
au,54727
m ,54395
h ,53851
el,53692
 w,52933
ti,52353
li,52166
nt,50380
al,47469
 S,45341
ra,42305
g ,41750
ss,41122
si,40880
rt,40063
at,39718
ar,39701
as,39660
me,39619
et,39592
ns,39170
 v,38883
ll,38270
ht,38147
or,37928
zu,36754
 b,36096
hr,35974
 g,35842
we,35432
ur,35288
us,34683
 m,34563
ri,34334
 z,34298
em,33709
n.,33510
ha,32923
ig,32019
da,31961
 A,31367
ni,30939
rs,30643
 B,30335
wi,29518
 n,29143
rd,29123
 E,28048
ro,27691
mi,27392
eh,26806
nn,26676
 f,26397
vo,25764
 M,25760
ta,25423
"n,",25223
lt,25178
la,25103
 P,24854
ve,24475
na,24099
ts,23786
tr,23585
	D,23541
ol,23527
uf,23243
ir,22880
 h,22858
ru,22849
ke,22742
 K,22625
io,22588
il,22308
eg,22303
 G,22261
l ,21857
ür,21767
ze,21692
tz,21594
 F,21381
 k,21062
ma,20830
ut,20445
fü,20387
u ,20091
ac,20087
im,19910
kt,19661
am,19620
 D,19551
um,19261
 W,19199
rn,19151
so,19108
eu,18781
fe,18678
eb,18672
ab,18560
ag,18456
tu,17806
Di,17584
ed,17547
 V,17487
uc,17186
ah,16942
 R,16887
mm,16857
t.,16495
hl,16370
Be,16187
 I,16136
ft,15973
 T,15880
tt,15856
f ,15635
om,15065
hi,14884
ls,14372
rg,14313
 L,14309
ck,14298
 H,14214
rb,13934
rk,13633
sa,13377
wa,13216
ec,13197
sp,13168
nz,12839
bi,12795
du,12755
i ,12671
Ge,12597
Ve,12580
gs,12474
gi,12457
hn,12440
St,12413
"t,",12370
In,11984
pr,11727
nk,11641
ka,11617
Pr,11570
Si,11418
ko,11283
De,11112
lu,11074
a ,10991
zi,10817
af,10815
rm,10753
od,10614
 l,10560
ue,10524
tl,10468
rl,10301
gr,10242
Au,10215
fa,10186
ek,10124
ga,10113
 o,10108
20,9959
pe,9923
nu,9915
o ,9901
nf,9801
oc,9797
 U,9673
ik,9632
We,9610
ef,9559
ff,9559
 Z,9537
Re,9440
 N,9438
rf,9434
to,9413
fo,9391
os,9289
gt,9193
op,9172
7	,9040
9	,9027
1	,9012
0	,9007
4	,9004
8	,9004
3	,8997
5	,8991
gl,8990
6	,8961
2	,8956
: ,8824
Sc,8774
lo,8748
hm,8660
Wi,8657
no,8639
üb,8509
ba,8489
Ma,8465
pa,8457
"e,",8342
än,8314
ot,8216
Da,8215
ew,8171
 J,8169
iv,8049
 2,8023
An,7996
Mi,7954
Ei,7850
k ,7809
id,7807
gu,7798
Ko,7780
	E,7742
 1,7736
vi,7658
rh,7575
	W,7562
tä,7555
hu,7532
ld,7531
 p,7509
Un,7489
rc,7448
ho,7415
00,7358
fi,7342
. ,7285
ad,7199
ih,7170
ät,7160
rz,7097
kl,6986
je,6978
 r,6906
Me,6906
 C,6888
su,6872
tw,6851
 ü,6837
e.,6814
	I,6770
ul,6742
	S,6741
z ,6699
 (,6671
- ,6658
rä,6639
Er,6612
wo,6517
01,6435
rü,6404
 t,6308
fr,6265
ug,6236
ku,6235
 O,6218
og,6085
br,6077
mu,5986
of,5979
ia,5939
 j,5846
Fr,5787
ob,5785
oh,5785
rr,5774
po,5721
üh,5630
ße,5624
ön,5594
ib,5565
bs,5538
Pa,5535
bl,5515
zt,5510
ün,5503
lä,5415
pi,5375
ak,5352
Gr,5331
Eu,5258
Ja,5236
Se,5234
19,5172
äh,5139
hä,5135
En,5082
r.,5079
mp,5075
hs,5065
Le,5059
0 ,5051
if,5037
Zu,5016
10,5009
Ha,4999
"r,",4977
wu,4966
Ar,4953
rw,4944
Vo,4927
är,4920
) ,4894
Te,4878
15,4839
zw,4822
lb,4775
kr,4722
ea,4711
Ba,4703
Ih,4696
Wa,4686
mo,4655
50,4636
nl,4619
b ,4579
12,4568
Na,4551
30,4550
14,4505
So,4457
ez,4433
Fa,4423
sk,4410
dr,4364
ub,4349
He,4331
th,4309
kö,4308
13,4307
99,4307
sg,4305
Sp,4280
11,4270
lg,4234
25,4215
40,4208
90,4128
ai,4127
80,4120
24,4109
21,4101
60,4092
70,4084
nb,4077
bu,4070
iz,4068
ln,4068
98,4052
22,4042
	A,4037
ör,4019
ep,4014
nh,4011
23,4010
do,4007
bt,4006
üc,4005
hw,4004
"s,",3998
27,3996
28,3993
Ka,3976
mt,3975
18,3964
26,3964
97,3947
La,3943
29,3925
fl,3924
96,3923
95,3921
35,3920
dl,3915
sb,3911
91,3901
94,3899
Üb,3898
45,3897
31,3893
93,3890
32,3864
75,3858
41,3850
65,3849
55,3846
38,3845
33,3843
42,3835
89,3835
uk,3832
57,3831
92,3828
36,3826
34,3824
39,3822
47,3821
83,3820
87,3820
48,3818
67,3816
74,3816
51,3815
54,3815
66,3815
88,3813
56,3811
77,3809
85,3808
52,3807
61,3806
43,3803
81,3803
63,3802
49,3801
	M,3800
82,3800
44,3794
64,3793
68,3793
69,3793
86,3793
46,3792
72,3792
79,3790
84,3789
ee,3788
16,3787
37,3786
58,3785
62,3785
76,3785
s.,3783
71,3779
78,3778
53,3777
73,3773
59,3771
17,3765
pp,3745
 „,3740
Ab,3697
ow,3665
"g,",3644
 -,3642
g.,3622
pä,3607
pf,3590
va,3565
Fo,3535
pl,3533
up,3479
ds,3476
hö,3429
Mo,3376
Po,3336
ud,3301
 Ü,3299
sm,3276
pt,3232
ce,3231
Kr,3221
lf,3214
sw,3186
sl,3183
sh,3168
ov,3152
äu,3151
07,3150
09,3130
	U,3118
tg,3118
bo,3094
Tr,3089
oz,3078
äs,3063
08,3056
ks,3016
Al,3012
02,3009
Bi,3007
Li,3000
wä,2991
Ra,2985
ms,2984
üs,2973
ok,2961
06,2957
Ze,2946
Es,2942
ap,2924
05,2920
04,2918
03,2917
äi,2912
mb,2896
Do,2892
	N,2882
Ne,2877
Ta,2842
sf,2840
d.,2835
tü,2832
Fe,2824
Wo,2792
ög,2769
äc,2756
aa,2751
ys,2746
Ku,2738
 –,2730
ou,2728
