a ,246083
e ,224548
o ,197983
i ,191466
 p,170251
 s,148735
je,129634
", ",121195
 n,114621
na,112254
ra,100883
ni,99900
 v,95384
st,94402
pr,93348
po,91496
re,89458
 d,85819
en,83408
 z,82276
 i,80502
ko,80311
in,79199
 k,78874
ne,78636
te,77772
an,77019
 t,73287
no,71950
ov,71155
 o,69248
li,66062
al,65259
se,64568
n ,62862
ri,62854
la,62830
ve,62097
 j,61976
ti,61316
ja,61265
em,57862
od,57833
za,57575
v ,56374
da,55246
av,55160
nj,54838
m ,54580
el,54535
ka,53764
lo,53185
ta,51557
ed,51536
le,51066
os,51043
il,50250
aj,49781
 b,49399
va,48558
to,48024
or,47658
 m,47394
er,46452
lj,45179
ro,44921
me,44565
ar,43886
mo,42260
at,41675
h ,41626
ki,40802
ih,40722
et,40678
sk,40534
vi,39029
de,38518
di,38501
ol,38466
do,38195
ga,36231
ij,35734
im,35160
vo,34542
it,34479
tr,34471
am,34310
bi,34065
ob,33902
ak,33478
om,33391
ma,32965
ot,32515
j ,32325
pa,32017
bo,31909
is,31692
ik,31140
ev,31133
 r,30824
u ,30406
iz,30213
so,29413
eg,29249
es,29216
ji,28956
jo,28074
 l,28002
on,27752
ek,27704
r ,27192
l ,26721
as,26583
ke,26453
t ,26173
mi,25931
go,25556
ad,25407
 u,23530
če,22757
tu,22357
ej,22154
og,22119
z ,21832
dn,21223
ci,21219
oč,20942
az,20594
ce,20469
či,20439
dr,20220
vn,20108
ud,19812
sa,19775
"a,",19480
s ,19471
ic,19257
 g,19183
"e,",18937
ju,18857
d ,18520
sp,18519
 a,18215
"i,",18186
tn,18021
oj,17922
si,17766
op,17666
ok,17513
k ,17205
iv,17180
sl,17113
še,16746
ča,16285
eč,16209
 š,16195
ir,16176
ič,16107
ln,16041
"o,",15870
ru,15741
kr,15250
čn,15202
be,15126
 č,15110
ku,15098
pi,14793
ah,14780
a.,14698
vs,14585
iš,14094
že,14045
 2,13903
ez,13840
: ,13564
up,13467
ač,13216
ns,13110
tv,13089
20,13081
 S,12979
i.,12776
rj,12518
	P,12492
e.,12385
br,12292
pe,12252
zn,12226
aš,12225
 ž,12060
eb,12058
 1,11979
vl,11919
 e,11814
gr,11631
nt,11623
gl,11536
bl,11490
rn,11288
zi,11157
pl,11038
oz,10641
ap,10615
	N,10406
sv,10324
ab,10301
ep,10277
. ,10269
o.,10132
kl,10034
 P,9934
uj,9921
us,9899
ži,9794
ag,9788
vr,9642
ba,9454
	V,9328
šk,9307
00,9293
 c,9167
č ,9167
ur,9073
1	,9037
ož,9030
3	,9028
4	,9026
8	,9015
9	,9011
2	,8992
0	,8984
Pr,8979
6	,8974
7	,8970
5	,8962
zd,8957
id,8930
rt,8813
gi,8593
ec,8588
ac,8577
sn,8540
01,8497
ši,8489
Po,8370
ca,8149
ze,8036
 M,8028
šč,7998
bn,7940
nc,7912
Na,7837
ša,7805
oš,7798
	S,7614
rs,7566
ug,7518
 (,7499
hk,7496
	T,7416
sm,7414
ho,7402
un,7387
kt,7342
lu,7307
ža,7263
mu,7183
ds,7168
nk,7143
ež,7097
eh,7086
jš,7054
 h,7041
 f,7017
št,7008
13,7004
js,6961
zv,6856
"m,",6844
 D,6839
rv,6788
nd,6734
dl,6653
nu,6637
ge,6481
dv,6440
0 ,6412
ig,6321
 K,6295
zo,6213
tk,6169
ip,6168
10,6163
	Z,6130
ub,6046
 C,5963
 N,5898
	K,5892
šn,5868
V ,5732
eš,5729
Za,5625
b ,5589
um,5585
12,5477
žn,5456
 G,5409
19,5393
ut,5360
 B,5353
 T,5352
 A,5289
30,5283
 O,5257
 V,5167
11,5014
 R,4988
io,4980
už,4958
50,4929
fi,4918
ul,4907
jn,4906
ču,4874
"u,",4856
15,4749
zb,4748
25,4746
rg,4733
mb,4707
	O,4702
 L,4690
uč,4679
Sl,4660
tj,4649
"v,",4618
du,4597
sr,4586
c ,4555
24,4541
db,4509
22,4501
40,4486
21,4482
99,4478
rž,4470
- ,4465
28,4461
26,4425
zm,4417
27,4392
23,4370
3 ,4367
18,4358
16,4343
29,4341
31,4333
Ko,4332
14,4322
) ,4320
u.,4271
60,4268
zg,4261
ha,4249
70,4226
co,4214
17,4210
35,4208
hi,4206
37,4192
v.,4192
80,4170
90,4166
uš,4163
 -,4157
45,4113
32,4086
57,4059
39,4058
55,4055
33,4054
38,4040
42,4030
48,4029
98,4027
36,4024
51,4017
34,4016
96,4010
41,4003
94,4002
95,3996
43,3990
97,3986
g ,3970
58,3969
rk,3965
49,3962
91,3957
56,3955
zp,3955
 Z,3948
53,3946
52,3945
59,3935
44,3933
71,3933
46,3928
69,3927
65,3926
pu,3925
T ,3924
zl,3922
93,3918
vz,3918
47,3916
92,3912
54,3910
79,3904
85,3904
dp,3901
75,3884
89,3883
64,3882
73,3878
63,3870
83,3868
86,3865
68,3863
84,3863
	M,3862
81,3857
66,3856
72,3855
62,3854
87,3851
74,3843
88,3841
78,3840
82,3840
61,3838
77,3835
 3,3832
67,3821
76,3814
Ma,3808
až,3774
fo,3770
su,3751
čj,3741
mn,3712
09,3648
lc,3640
ct,3638
lk,3610
rd,3598
 J,3579
08,3575
mp,3535
dj,3520
"l,",3503
čl,3486
"n,",3484
oc,3473
07,3450
To,3440
bu,3419
ng,3410
ml,3409
02,3407
zu,3399
ia,3394
m.,3369
 I,3349
06,3349
05,3343
03,3316
04,3305
uk,3277
nč,3274
 E,3260
ib,3227
rm,3215
zr,3205
e:,3198
"t,",3195
čk,3156
Ka,3136
š ,3099
gu,3094
Co,3061
Da,3055
 F,3006
"h,",3001
1 ,2972
vp,2959
2 ,2902
šo,2863
5 ,2842
"k,",2822
" """,2773
lt,2731
pn,2727
 0,2702
Ve,2696
šl,2692
žb,2672
t.,2670
Ob,2668
Ta,2656
Ne,2613
rš,2575
km,2543
oh,2539
zk,2528
bj,2523
Ja,2509
	I,2488
iž,2480
"j,",2476
Se,2462
vk,2456
 H,2424
mr,2419
hr,2393
rb,2393
Re,2378
h.,2363
 »,2291
nn,2291
No,2254
vt,2252
n.,2248
l.,2227
kš,2226
n:,2225
St,2219
tl,2213
dk,2182
	D,2173
..,2170
Mo,2166
S ,2164
Le,2158
Me,2151
jb,2144
	R,2141
cu,2141
4 ,2132
kj,2131
kv,2124
ks,2116
he,2102
bč,2094
